Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,0.01uF,
"C10, C4, C7",0603,3,10uf,C96446
C11,0603,1,0.1uF,C14663
"C12, C16, C19, C24, C25, C26, C27, C30, C31, C32, C33",0603,11,10uF,
"C13, C14, C17, C18, C2, C20, C21",0603,7,0.1uF,
"C22, C23, C28, C29",0603,4,22uF,
"C5, C9",0603,2,1uF,C15849
"C6, C8",0603,2,100nf,C14663
"D1, D2",PMEG6020ER115,2,"PMEG6020ER,115",
"EN1, IO0",PTS815SJM250SMTRLFS,2,PTS815_SJG_250_SMTR_LFS,
IC1,SOP65P640X120-29N,1,DRV8844PWPR,
IC2,SOT127P600X175-8N,1,SN65HVD230DR,
IC3,SOIC127P600X170-9N,1,LMR38020FSQDDARQ1,
"J1, J2",RJ45_Amphenol_54602-x08_Horizontal,2,8P8C,
"J3, J4",TerminalBlock_bornier-2_P5.08mm,2,Screw_Terminal_01x02,
J5,PinHeader_1x05_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x05_Socket,
L1,INDPM6965X300N,1,10uH,
Q1,SOT95P240X115-3N,1,SS8050-G,C916392
Q2,SOT95P240X115-3N,1,SS8050-G,
"R1, R13, R14, R21, R6",0603,5,10k,
R10,0603,1,22.1k,
R11,0603,1,10,
"R12, R15, R16, R19, R20",0603,5,2k,
"R2, R5",RESC1608X55N,2,154k,C3016414
"R22, R23",0603,2,500,
R3,RESC1608X55N,1,64.9k,C101235
R4,RESC1608X55N,1,64.9k,C3016414
R9,0603,1,47.5k,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U2,TSSOP-14_4.4x5mm_P0.65mm,1,AS5048A,
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
USBC1,USB-C-SMD_TYPE-C-USB-3,1,TYPE-C 3.1_C168690,C168690
"V3v3, VM1, VUSB1",0603,3,LED,
