Designator,Mid X,Mid Y,Rotation,Layer
C1,131.0,-107.5,0.0,bottom
C10,121.0,-118.5,0.0,top
C11,111.5,-113.0,270.0,bottom
C12,109.0,-104.47,0.0,bottom
C13,133.0,-132.5,180.0,top
C14,127.0,-130.5,0.0,bottom
C16,126.5,-118.275,90.0,bottom
C17,125.0,-118.3625,90.0,bottom
C18,133.5,-141.0,180.0,top
C19,109.0,-106.98,0.0,bottom
C2,127.5,-108.75,180.0,bottom
C20,107.6375,-141.0,180.0,bottom
C21,127.0,-132.0,0.0,bottom
C22,129.8,-115.51,180.0,bottom
C23,145.9,-119.0,180.0,bottom
C24,145.9,-115.5,180.0,bottom
C25,111.5,-117.49,0.0,bottom
C26,96.8,-116.7,0.0,bottom
C27,96.8,-120.0,0.0,bottom
C3,124.0,-115.0,0.0,bottom
C4,115.0,-112.0,90.0,bottom
C5,113.5,-112.0,90.0,bottom
C6,113.5,-108.5,270.0,bottom
C7,121.3625,-120.0,0.0,top
C8,115.5,-117.5,90.0,bottom
C9,121.0,-117.0,0.0,top
D1,119.0,-111.5,180.0,bottom
D2,118.9,-115.2,180.0,bottom
EN1,128.5,-139.0,0.0,bottom
IC1,125.575,-111.938,270.0,top
IC2,136.5,-129.0,0.0,top
IC3,114.288,-111.5,180.0,top
IO0,113.25,-139.5,0.0,bottom
J1,140.86,-117.9,90.0,top
J2,101.12,-118.1,270.0,top
J3,126.88,-102.185,180.0,top
J4,115.63,-102.185,180.0,top
L1,114.75,-118.0,0.0,top
Q1,126.9,-134.5,180.0,bottom
Q2,111.5,-135.05,180.0,bottom
R1,139.9,-132.5,0.0,top
R10,112.825,-126.0,0.0,bottom
R11,119.25,-131.5,270.0,bottom
R12,119.4,-126.0,180.0,bottom
R13,108.0,-134.0,0.0,bottom
R14,115.0,-134.5,0.0,bottom
R15,116.175,-124.5,0.0,bottom
R16,127.675,-124.5,180.0,bottom
R19,124.5,-120.4,0.0,top
R2,119.5,-113.0,90.0,top
R20,124.5,-118.9,0.0,top
R21,138.175,-101.3,180.0,top
R22,103.5,-101.3,0.0,top
R23,103.675,-141.0,0.0,top
R3,119.5,-109.5,90.0,top
R4,116.0,-109.0,0.0,bottom
R6,130.325,-132.0,0.0,bottom
R9,116.0,-126.0,180.0,bottom
U1,120.9,-132.51,180.0,top
U2,121.0,-121.0,0.0,bottom
U3,115.0,-130.0,270.0,bottom
USBC1,104.9,-129.75,0.0,top
V3v3,107.0,-101.3,0.0,top
VM1,135.0,-101.3,180.0,top
VUSB1,107.2875,-141.0,0.0,top
